latitude,longitude,brightness,confidence,frp,daynight,acq_date
-22.6409,150.6814,372.5,100,122.4,D,2019-09-09
-29.0074,152.4857,311.6,53,101.9,N,2019-09-06
-16.4603,123.8686,387.4,100,249.8,D,2019-09-29
-30.2269,152.6292,310.9,26,13.0,D,2019-09-07
-36.4039,149.8871,389.1,100,192.9,D,2019-09-07
-28.2629,151.4207,328.5,85,30.6,D,2019-08-10
-28.1879,153.1942,315.5,91,16.1,N,2019-09-07
-31.6531,152.1078,306.0,66,14.5,N,2019-08-18
-29.497,148.5641,348.1,93,181.8,D,2019-09-20
-14.1925,129.8322,329.2,42,7.2,D,2019-09-13
-34.4546,142.7377,355.4,97,67.6,D,2019-09-03
-29.0653,152.3959,333.5,86,38.0,D,2019-09-07
-32.5815,116.4568,321.9,78,20.5,D,2019-09-08
-14.0975,129.789,329.5,41,19.1,D,2019-09-11
-14.1447,129.8447,337.4,68,28.5,D,2019-09-12
-41.043,147.4463,304.8,60,7.9,D,2019-09-14
-22.4658,148.9094,300.8,34,8.1,N,2019-09-03
-26.9278,153.1299,315.0,0,20.9,D,2019-08-21
-22.6503,150.6544,313.2,62,56.5,N,2019-09-09
-29.7665,152.1906,306.1,67,11.1,N,2019-09-12
-15.0851,129.9567,321.6,48,26.4,D,2019-08-14
-27.1854,148.6423,333.1,87,40.9,D,2019-08-02
-37.603,142.5186,318.5,79,20.5,D,2019-08-23
-29.0485,152.2742,330.1,47,29.0,D,2019-09-11
-22.7712,150.6602,323.9,100,52.9,N,2019-09-07
-32.0718,146.1397,321.1,60,16.0,D,2019-09-26
-34.1517,147.7561,306.0,45,6.7,D,2019-08-15
-29.7959,152.0476,315.7,67,12.1,D,2019-09-12
-21.8656,134.6409,340.7,76,55.1,D,2019-09-20
-29.3111,153.0214,312.7,70,18.3,D,2019-08-06
-29.8364,152.1206,313.9,20,22.7,D,2019-09-15
-22.5183,150.2654,346.5,92,47.4,D,2019-09-09
-29.0794,152.3331,338.6,89,52.6,D,2019-09-07
-27.2318,150.7101,306.2,46,8.6,D,2019-08-03
-29.5847,153.304,344.1,88,66.0,D,2019-09-10
-29.652,152.4892,310.4,51,11.3,N,2019-09-22
-21.6912,134.5518,333.6,17,25.1,D,2019-09-19
